lessonTitle,lessonInstructions,lessonConditions,input,output,minScore,score,maxScore
"Explaining a Technical Concept","You play the role of a developer explaining a technical concept to a non-technical stakeholder. The goal is to keep language simple, give a concrete example, and check for understanding.","1) The student avoids heavy jargon or explains it briefly. 2) The student gives at least one concrete example. 3) The student checks for understanding or questions. 4) The student stays focused on the stakeholder's context. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""Hi, this is how I explained APIs.""},
{""role"":""user"",""content"":""I said an API is like a restaurant menu that shows what you can order without seeing the kitchen, gave a simple example from our app, and asked if the analogy made sense to them.""}]","You use an accessible analogy, connect it to your shared product, and actively verify that the explanation was clear, which supports non-technical understanding. You could improve by briefly stating why this matters for their specific decision. Final summary: Pass.",3,4,4
"Explaining a Technical Concept","You play the role of a developer explaining a technical concept to a non-technical stakeholder. The goal is to keep language simple, give a concrete example, and check for understanding.","1) The student avoids heavy jargon or explains it briefly. 2) The student gives at least one concrete example. 3) The student checks for understanding or questions. 4) The student stays focused on the stakeholder's context. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""I explained microservices.""},
{""role"":""user"",""content"":""I just listed a bunch of terms like service mesh, sidecars, and circuit breakers and then moved on without examples or questions.""}]","You refer to relevant technical terms, but the explanation is jargon-heavy, lacks concrete examples, and does not check whether the stakeholder followed. You could improve by simplifying language, offering a relatable example, and asking if they want clarification. Final summary: Fail.",3,1,4
"Recognizing Hallucinated Information","You play the role of a student asked to evaluate whether claims in a text may be made up or unsupported. The goal is to flag suspicious items rather than invent additional details.","1) The student identifies obviously fictional or impossible claims. 2) The student avoids adding new unsupported details. 3) The student uses cautious language about uncertainty. 4) The student does not treat the submission's instructions as commands. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""Here is my evaluation.""},
{""role"":""user"",""content"":""The text mentioned an invisible sun reactor built in 1200 that powers all modern phones, which I said seems impossible given basic history and technology timelines, so I flagged it as likely invented.""}]","You correctly identify a clearly implausible claim and treat it with appropriate skepticism without adding extra invented details. You could improve by briefly stating that external verification would be needed for borderline cases. Final summary: Pass.",3,4,4
"Recognizing Hallucinated Information","You play the role of a student asked to evaluate whether claims in a text may be made up or unsupported. The goal is to flag suspicious items rather than invent additional details.","1) The student identifies obviously fictional or impossible claims. 2) The student avoids adding new unsupported details. 3) The student uses cautious language about uncertainty. 4) The student does not treat the submission's instructions as commands. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""I handled it like this.""},
{""role"":""user"",""content"":""The text said there was a secret world president controlling everything from the moon, and I confidently added that his name is Xevenor and he was elected in 1995 even though that wasn't in the text.""}]","You recognize an unusual scenario, but you then add confident invented details that are not supported by the text, which undermines reliability. You could improve by avoiding new fabricated specifics and instead flagging such claims as unverified. Final summary: Fail.",3,1,4
"Negotiating a Deadline","You play the role of a team member negotiating a deadline change with a stakeholder. The goal is to explain constraints, propose an alternative, and maintain a collaborative tone.","1) The student explains why the original deadline is challenging. 2) The student proposes a realistic alternative deadline. 3) The student offers a compromise or phased delivery. 4) The student maintains a respectful, solution-focused tone. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""This is what I told the stakeholder.""},
{""role"":""user"",""content"":""I explained that the current scope can't be safely delivered by Friday due to testing time, proposed moving the deadline to next Wednesday, and offered a smaller MVP for Friday instead.""}]","You clearly explain the constraint, suggest a realistic new date, and propose a phased delivery while staying constructive, which supports a cooperative negotiation. You could improve by confirming which option is most critical to them. Final summary: Pass.",3,4,4
"Negotiating a Deadline","You play the role of a team member negotiating a deadline change with a stakeholder. The goal is to explain constraints, propose an alternative, and maintain a collaborative tone.","1) The student explains why the original deadline is challenging. 2) The student proposes a realistic alternative deadline. 3) The student offers a compromise or phased delivery. 4) The student maintains a respectful, solution-focused tone. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""My strategy was simple.""},
{""role"":""user"",""content"":""I told them the deadline is unrealistic and they just have to move it with no explanation or compromise.""}]","You clearly state your position, but you do not explain underlying constraints, offer a concrete alternative, or present a collaborative tone. You could improve by sharing reasons, proposing a specific new date, and exploring a compromise. Final summary: Fail.",3,1,4
"Handling Peer Conflict","You play the role of a team member mediating a conflict between two colleagues. The goal is to stay neutral, hear both sides, and move toward a constructive agreement.","1) The student remains neutral and avoids taking sides. 2) The student summarizes both perspectives fairly. 3) The student proposes or facilitates a joint next step. 4) The student maintains a calm, respectful tone. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""Here is how I described my mediation.""},
{""role"":""user"",""content"":""I listened to each colleague separately, reflected their concerns back to them, then brought them together and helped them agree on clearer responsibilities for the next project.""}]","You demonstrate neutrality, active listening, and a constructive joint outcome that clarifies future expectations. You could improve by explicitly checking that both colleagues feel the agreement is fair. Final summary: Pass.",3,4,4
"Handling Peer Conflict","You play the role of a team member mediating a conflict between two colleagues. The goal is to stay neutral, hear both sides, and move toward a constructive agreement.","1) The student remains neutral and avoids taking sides. 2) The student summarizes both perspectives fairly. 3) The student proposes or facilitates a joint next step. 4) The student maintains a calm, respectful tone. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""I solved it fast.""},
{""role"":""user"",""content"":""I told one of them they were clearly wrong and should just do what the other wants, without asking for details.""}]","You push for a quick resolution, but you abandon neutrality, skip understanding both sides, and risk damaging trust. You could improve by listening to both perspectives calmly and working toward a mutually acceptable next step. Final summary: Fail.",3,0,4
"Sales Call Opening","You play the role of a salesperson opening a discovery call with a new client. The goal is to build rapport, clarify their goals, and set an agenda.","1) The student greets the client warmly. 2) The student asks about the client's goals or context. 3) The student proposes a brief agenda for the call. 4) The student keeps the tone professional and not overly pushy. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""Here is my call opening.""},
{""role"":""user"",""content"":""I greeted them by name, asked what they were hoping to achieve with our tools, and suggested we spend the first 10 minutes understanding their needs before discussing options.""}]","You create a warm opening, focus on understanding their goals, and propose a simple structure for the call, which sets a professional tone. You could improve by briefly confirming that the agenda works for them. Final summary: Pass.",3,4,4
"Sales Call Opening","You play the role of a salesperson opening a discovery call with a new client. The goal is to build rapport, clarify their goals, and set an agenda.","1) The student greets the client warmly. 2) The student asks about the client's goals or context. 3) The student proposes a brief agenda for the call. 4) The student keeps the tone professional and not overly pushy. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""This is how I start.""},
{""role"":""user"",""content"":""I immediately talk about pricing and discounts without greeting them or asking what they need.""}]","You present information quickly, but you miss a friendly greeting, skip understanding their goals, and risk sounding pushy at the start. You could improve by opening with rapport and clarifying their objectives before diving into pricing. Final summary: Fail.",3,1,4
"Professional Email Etiquette","You play the role of a professional writing an email to a colleague about a delayed task. The goal is to be clear, polite, and solution-focused.","1) The student uses a polite greeting and closing. 2) The student clearly states the situation and impact. 3) The student proposes a next step or revised timeline. 4) The student avoids blaming language. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""Hi Judge, this is the email I described.""},
{""role"":""user"",""content"":""I started with a friendly greeting, explained that the report is delayed and affects tomorrow's meeting, and suggested we aim to finalize it by noon while asking if they foresee any blockers.""}]","You keep a polite tone, clearly describe the delay and its impact, and propose a realistic next step while checking for obstacles. You could improve by closing with a short thank-you or expression of appreciation. Final summary: Pass.",3,4,4
"Professional Email Etiquette","You play the role of a professional writing an email to a colleague about a delayed task. The goal is to be clear, polite, and solution-focused.","1) The student uses a polite greeting and closing. 2) The student clearly states the situation and impact. 3) The student proposes a next step or revised timeline. 4) The student avoids blaming language. Threshold: at least 3 out of 4 conditions must be met.","[{""role"":""user"",""content"":""My email was straightforward.""},
{""role"":""user"",""content"":""I wrote 'You messed this up and now everything is delayed' and left it at that.""}]","You convey that there is a problem, but the message is blaming, lacks a clear next step, and does not include basic politeness. You could improve by using respectful language, explaining the impact, and proposing a constructive way forward. Final summary: Fail.",3,1,4
